district	firstname	lastname	party	committee_leadership	committee_membership	UID
GA06	Richard	McCormick	R	[]	['AS00_118', 'FA00_118', 'SY00_118', 'VC00_118', 'AS25_118', 'AS35_118', 'FA06_118', 'FA13_118', 'SY16_118', 'SY21_118']	M001218
GA07	Lucy	McBath	D	[]	['ED00_118', 'JU00_118', 'ED02_118', 'ED13_118', 'JU05_118', 'JU08_118']	M001208
GA08	Austin	Scott	R	[]	['AG00_118', 'AS00_118', 'IG00_118', 'AS03_118', 'AS26_118', 'IG01_118', 'IG02_118']	S001189
GA09	Andrew	Clyde	R	[]	['AP00_118', 'AP07_118', 'AP19_118', 'AP24_118']	C001116
GA10	Mike	Collins	R	['SY15_118']	['II00_118', 'PW00_118', 'SY00_118', 'II06_118', 'II15_118', 'PW02_118', 'PW05_118', 'PW12_118', 'SY18_118']	C001129
GA11	Barry	Loudermilk	R	['HA06_118']	['BA00_118', 'HA00_118', 'BA01_118', 'BA20_118', 'HA08_118']	L000583
GA12	Rick	Allen	R	[]	['ED00_118', 'IF00_118', 'ED02_118', 'IF16_118', 'IF17_118', 'IF18_118']	A000372
GA13	David	Scott	D	['AG00_118']	['BA00_118', 'BA16_118', 'BA20_118']	S001157
GA14	Marjorie	Greene	R	[]	['GO00_118', 'HM00_118', 'VC00_118', 'GO12_118', 'GO24_118', 'HM09_118', 'HM11_118']	G000596
GU00	James	Moylan	R	[]	['AS00_118', 'II00_118', 'AS02_118', 'AS03_118', 'II10_118', 'II24_118']	M001219
HI01	Ed	Case	D	[]	['AP00_118', 'II00_118', 'AP02_118', 'AP15_118', 'II13_118', 'II15_118', 'II24_118']	C001055
HI02	Jill	Tokuda	D	[]	['AG00_118', 'AS00_118', 'VC00_118', 'AS02_118', 'AS03_118']	T000487
IA01	Mariannette	Miller-Meeks	R	['VR03_118']	['IF00_118', 'VC00_118', 'VR00_118', 'IF14_118', 'IF18_118']	M001215
IA02	Ashley	Hinson	R	[]	['AP00_118', 'ZS00_118', 'AP01_118', 'AP15_118', 'AP23_118']	H001091
IA03	Zachary	Nunn	R	[]	['AG00_118', 'BA00_118', 'BA01_118', 'BA16_118']	N000193
IA04	Randy	Feenstra	R	[]	['AG00_118', 'WM00_118', 'WM01_118', 'WM05_118', 'WM06_118']	F000446
ID01	Russ	Fulcher	R	[]	['IF00_118', 'II00_118', 'IF16_118', 'IF17_118', 'IF18_118', 'II06_118', 'II10_118']	F000469
ID02	Michael	Simpson	R	['AP06_118']	['AP00_118', 'AP07_118', 'AP10_118']	S001148
IL01	Jonathan	Jackson	D	[]	['AG00_118', 'FA00_118', 'FA16_118']	J000309
IL02	Robin	Kelly	D	[]	['IF00_118', 'IF14_118', 'IF16_118', 'IF17_118']	K000385
IL03	Delia	Ramirez	D	[]	['HM00_118', 'VR00_118', 'HM09_118', 'HM11_118', 'VR09_118', 'VR10_118']	R000617
IL04	Jesús	García	D	[]	['PW00_118', 'PW05_118', 'PW12_118', 'PW14_118']	G000586
IL05	Mike	Quigley	D	['AP20_118']	['AP00_118', 'AP10_118', 'AP24_118']	Q000023
IL06	Sean	Casten	D	[]	['BA00_118', 'SY00_118', 'BA16_118', 'BA20_118', 'BA21_118']	C001117
IL07	Danny	Davis	D	['WM03_118']	['WM00_118', 'WM02_118']	D000096
IL08	Raja	Krishnamoorthi	D	['ZS00_118']	['GO00_118', 'IG00_118', 'GO05_118', 'IG01_118']	K000391
IL09	Janice	Schakowsky	D	['IF17_118']	['BU00_118', 'IF00_118', 'IF02_118', 'IF18_118']	S001145
IL10	Bradley	Schneider	D	[]	['FA00_118', 'WM00_118', 'WM05_118', 'WM06_118']	S001190
IL11	Bill	Foster	D	['BA20_118']	['BA00_118', 'BA01_118', 'BA21_118']	F000454
IL12	Mike	Bost	R	['VR00_118']	['AG00_118', 'PW00_118', 'PW02_118', 'PW12_118', 'PW14_118']	B001295
IL13	Nikki	Budzinski	D	[]	['AG00_118', 'VR00_118', 'VR03_118']	B001315
IL14	Lauren	Underwood	D	[]	['AP00_118', 'AP01_118', 'AP15_118']	U000040
IL15	Mary	Miller	R	[]	['AG00_118', 'ED00_118', 'ED10_118', 'ED14_118']	M001211
IL16	Darin	LaHood	R	['IG02_118', 'WM03_118']	['IG00_118', 'WM00_118', 'ZS00_118', 'IG06_118', 'WM04_118']	L000585
IL17	Eric	Sorensen	D	['SY16_118']	['AG00_118', 'SY00_118', 'SY20_118']	S001225
IN01	Frank	Mrvan	D	['VR08_118']	['ED00_118', 'VR00_118', 'ED02_118', 'VR10_118']	M001214
IN02	Rudy	Yakym	R	[]	['BU00_118', 'PW00_118', 'PW05_118', 'PW12_118', 'PW14_118']	Y000067
IN03	Jim	Banks	R	['AS02_118']	['AS00_118', 'ED00_118', 'ZS00_118', 'AS29_118', 'ED02_118', 'ED13_118']	B001299
IN04	James	Baird	R	[]	['AG00_118', 'FA00_118', 'SY00_118', 'FA13_118', 'FA16_118', 'SY15_118', 'SY20_118']	B001307
IN05	Victoria	Spartz	R	[]	['JU00_118', 'JU01_118', 'JU05_118']	S000929
