state	firstname	lastname	party	committee_leadership	committee_membership
AZ-Sen1	Kyrsten	Sinema	I	['SSGA22_118']	['SSCM00_118', 'SSVA00_118', 'SSGA00_118', 'SSGA20_118', 'SSBK00_118', 'SSBK09_118', 'SSBK05_118', 'SSBK04_118']
MN-Sen2	Tina	Smith	D	['SSBK09_118']	['SSHR00_118', 'SSAF00_118', 'JCSE00_118', 'SSBK00_118', 'SSBK12_118', 'SSBK08_118', 'SLIA00_118']
MI-Sen1	Debbie	Stabenow	D	['SSFI12_118', 'SSAF00_118']	['SSFI00_118', 'SSFI10_118', 'SSFI13_118', 'SSEV00_118', 'SSBU00_118', 'JSTX00_118']
AK-Sen2	Dan	Sullivan	R	['SSAS15_118']	['SSCM00_118', 'SSVA00_118', 'SSAS00_118', 'SSAS17_118', 'SSAS13_118', 'SSEV00_118']
MT-Sen1	Jon	Tester	D	['SSAP02_118', 'SSVA00_118']	['SSCM00_118', 'SSAP00_118', 'SSAP01_118', 'SSAP22_118', 'SSAP14_118', 'SSAP17_118', 'SSAP19_118', 'SSBK00_118', 'SSBK09_118', 'SSBK05_118', 'SSBK04_118', 'SLIA00_118']
SD-Sen3	John	Thune	R	['SSFI11_118']	['SSCM00_118', 'SSFI00_118', 'SSFI10_118', 'SSFI13_118', 'SSAF00_118']
NC-Sen2	Thom	Tillis	R	['SSFI02_118', 'SSBK08_118']	['SSFI00_118', 'SSFI13_118', 'SSVA00_118', 'SSJU00_118', 'JCSE00_118', 'SSBK00_118', 'SSBK12_118', 'SSBK04_118']
AL-Sen2	Tommy	Tuberville	R	[]	['SSHR00_118', 'SSAF00_118', 'SSVA00_118', 'SSAS00_118', 'SSAS15_118', 'SSAS13_118', 'SSAS16_118']
MD-Sen3	Chris	Van Hollen	D	['SSAP23_118']	['SSAP00_118', 'SSAP16_118', 'SSAP17_118', 'SSAP08_118', 'SSAP20_118', 'SSAP24_118', 'SSFR00_118', 'SSBU00_118', 'SSBK00_118', 'SSBK12_118', 'SSBK08_118', 'SSBK05_118']
OH-Sen3	J.D.	Vance	R	[]	['SSCM00_118', 'SPAG00_118', 'SSBK00_118', 'SSBK08_118', 'SSBK09_118', 'SSBK04_118', 'JSEC00_118']
VA-Sen2	Mark R.	Warner	D	['SLIN00_118', 'SSBK05_118', 'SSBK04_118']	['SSFI00_118', 'SSFI10_118', 'SSFI13_118', 'SSFI11_118', 'SSRA00_118', 'SSBU00_118', 'SSBK00_118', 'SSBK08_118', 'JSLC00_118']
GA-Sen3	Raphael G.	Warnock	D	['SSBK08_118']	['SSCM00_118', 'SSAF00_118', 'SPAG00_118', 'SSBK00_118', 'SSBK09_118', 'SSBK04_118']
MA-Sen1	Elizabeth	Warren	D	['SSAS17_118', 'SSBK12_118']	['SSFI00_118', 'SSFI10_118', 'SSFI02_118', 'SSFI11_118', 'SSAS00_118', 'SSAS20_118', 'SSAS16_118', 'SPAG00_118', 'SSBK00_118', 'SSBK08_118', 'SSBK04_118']
VT-Sen3	Peter	Welch	D	[]	['SSCM00_118', 'SSAF00_118', 'SSRA00_118', 'SSJU00_118', 'JSEC00_118']
RI-Sen1	Sheldon	Whitehouse	D	['SCNC00_118', 'SSBU00_118']	['SSFI00_118', 'SSFI12_118', 'SSFI10_118', 'SSFI11_118', 'SSJU00_118', 'JCSE00_118', 'SSEV00_118']
MS-Sen1	Roger F.	Wicker	R	['SLIN00_118', 'JCSE00_118', 'SSAS00_118', 'SSAS14_118', 'SSAS21_118', 'SSAS20_118', 'SSAS17_118', 'SSAS15_118', 'SSAS13_118', 'SSAS16_118']	['SSCM00_118', 'SSRA00_118', 'SSEV00_118']
OR-Sen3	Ron	Wyden	D	['SSFI00_118', 'JSTX00_118']	['SSEG00_118', 'SSFI12_118', 'SSFI14_118', 'SSFI10_118', 'SSFI13_118', 'SSFI02_118', 'SSFI11_118', 'SLIN00_118', 'SSBU00_118']
IN-Sen3	Todd	Young	R	[]	['SSCM00_118', 'SSFI00_118', 'SSFI10_118', 'SSFI13_118', 'SSFI02_118', 'SSFR00_118', 'SSSB00_118']
